column,depth_r2,series_eta2,detection,mean_expr,arm,gene
25722,0.03909513319696243,0.7740224524423465,0.1882380451303636,0.42732342541405965,centrality_only,C4BPAP2
30978,0.3359307889365027,0.7798264173385134,0.9602478662457617,5.056895404702165,centrality_only,C4ORF46P2
14673,0.10142020304093098,0.7643409410656262,0.6601192564012627,2.132162447604578,centrality_only,C4ORF50
14240,0.17212859866883945,0.8071308080779905,0.9436455045013445,4.258818785028961,centrality_only,C5ORF64
17196,0.8054530894620404,0.8473177188720522,0.9837483923769438,10.168593779511163,centrality_only,C6ORF89
9956,0.03690434926077456,0.8275089565729141,0.2797848708055653,0.8226869131938123,centrality_only,C8A
412,0.02993008247799796,0.8407836711016393,0.19490237343622122,0.6421600634154417,centrality_only,C8B
31106,0.23319560719961993,0.8108570240178389,0.8957091079153513,3.6942044459043797,centrality_only,C8ORF34-AS1
13411,0.22545525511598136,0.8524870751592832,0.7944580848824974,3.352584866784434,centrality_only,C9ORF131
34240,0.05953519781011696,0.860372713406172,0.32643516894656843,1.0633805398841802,centrality_only,CACNA1C-IT3
21223,0.3126101968398909,0.8451398323529703,0.8939553373085467,4.278702614405804,centrality_only,CACNA2D1-AS1
30219,0.036277511400897786,0.8268947263853065,0.24587863907400911,0.6864018525963539,centrality_only,CACNA2D3-AS1
28860,0.09808589261430717,0.798716049603495,0.6850227990178884,2.0478814111931705,centrality_only,CADM2-AS1
29550,0.04854795555687289,0.7873513491610505,0.3816204840406875,0.9514187678222585,centrality_only,CADM2-AS2
11104,0.01471669602325996,0.7945441456585575,0.2597918858879925,0.7822692633288431,centrality_only,CAMKV
6225,0.7195392362276413,0.883596398383876,0.9793055068397054,8.949742619550593,centrality_only,CAMSAP1
28377,0.011074395630992575,0.6845123778650516,0.11574886004910558,0.23910826987499914,centrality_only,CAMTA1-AS2
3883,0.6946517475289715,0.8529341208628428,0.9877236057523676,10.451272500295827,centrality_only,CAND1
10754,0.06135923516388325,0.7592255189316949,0.48065006430492224,1.3910569826315875,centrality_only,CAPN13
6369,0.7593831472085619,0.828165279744262,0.9808254413656027,9.033640290580548,centrality_only,CAPN7
6989,0.7417348083972919,0.8702635236715227,0.987255933590553,11.301364567437869,centrality_only,CAPRIN1
14615,0.5009189225421051,0.8042946353919587,0.9656260961066293,6.007739952735896,centrality_only,CAPS2
15837,0.17070778511252416,0.7590827205193804,0.6195486963638489,1.7963631522177423,centrality_only,CARMIL3
36257,0.054073502641323025,0.7377146701936692,0.5674032503215246,1.4741937907051792,centrality_only,CASC17
33118,0.17464805629300142,0.8185126074615863,0.958844849760318,4.593260315040754,centrality_only,CASC19
31347,0.07737139376174303,0.8607595145117093,0.8156202502046066,3.645601654016496,centrality_only,CASC9
38,0.596236076681721,0.8393026067659346,0.9783701625160762,7.008738065858648,centrality_only,CASP10
866,0.5839620344211787,0.8341519258627805,0.9773179001519935,7.025017908800558,centrality_only,CASP8
533,0.14773349973202596,0.7925133577567999,0.8849526481936163,3.411992810615166,centrality_only,CASR
11784,0.421635103742991,0.799561424406246,0.9678475388752484,5.625066142869416,centrality_only,CATSPER2
2091,0.33439352437391673,0.7614592729183336,0.9607155384075763,4.679966164557931,centrality_only,CATSPERG
1431,0.7191622105278487,0.853980932190864,0.9817607856892319,8.492210156496931,centrality_only,CBFA2T2
31602,0.0540002230929301,0.8188749643068756,0.31579562726528704,0.8471092772904745,centrality_only,CBX3P3
29512,0.07056864976511226,0.8095202460884056,0.43809189757979655,1.1979951383941259,centrality_only,CBX5P1
9635,0.7883060996930603,0.8771565418938763,0.9780194083947154,8.43835664358555,centrality_only,CC2D1B
16243,0.20206902285220293,0.785396151503941,0.8270782181690635,2.98133642742066,centrality_only,CC2D2B
23668,0.4950841993439415,0.859865181059549,0.8125803811528118,4.186062516921392,centrality_only,CCDC183-AS1
2600,0.7449323864931008,0.8790661898188344,0.9402548813281889,6.9406300181884255,centrality_only,CCDC22
23971,0.16066014923805516,0.8345101965864665,0.9819946217701392,6.236529731602748,centrality_only,CCDC26
15782,0.3976444387399424,0.800136221186376,0.9825792119724074,6.756242733119901,centrality_only,CCDC30
7903,0.04832915774804421,0.7211437155796236,0.4136560271249854,1.13419584724536,centrality_only,CCDC33
